time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
17:23:11.145582,launchd.1,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.963773,tcp6 *.22<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.963982,tcp4 *:22<->*:*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145593,apsd.377,,,14263,45582,0,0,0,,,,,,,,,,,,
17:23:10.981302,tcp4 198.18.0.1:61672<->198.18.0.151:5223,utun4,Established,14263,45582,0,0,0,1.22 ms,264000,65503,RD,-,cubic,-,-,-,-,so,
17:23:11.145600,nsurlsessiond.420,,,39,223,0,0,0,,,,,,,,,,,,
17:23:10.970804,tcp4 127.0.0.1:56160<->127.0.0.1:7890,lo0,CloseWait,39,223,0,0,0,1.00 ms,408300,408128,BK_SYS,BG,cubic,-,-,-,-,so,
17:23:11.145607,ControlCenter.634,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964021,tcp4 *:7000<->*:*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.964063,tcp6 *.7000<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.964111,tcp4 *:5000<->*:*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.964161,tcp6 *.5000<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145628,rapportd.658,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.971405,tcp4 *:58603<->*:*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.971704,tcp6 *.58603<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.015434,tcp6 *.57365<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.016173,tcp6 *.57366<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145648,identityservice.678,,,4578,5969,734,0,1569,,,,,,,,,,,,
17:23:10.966715,tcp6 fe80::7c7a:e0d6:b0fa:6231%utun5.1024<->fe80::5f7d:a03e:5fe0:ed3c%utun5.1024,utun5,Established,1021,1276,0,0,261,0.00 ms,131264,131264,CTL,-,cubic,-,-,-,-,so,
17:23:10.966992,tcp6 fe80::7c7a:e0d6:b0fa:6231%utun5.1027<->fe80::5f7d:a03e:5fe0:ed3c%utun5.1025,utun5,Established,3557,4693,734,0,1308,125.91 ms,131072,131072,RV,-,cubic,-,-,-,-,so,
17:23:11.145661,Python.753,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964428,tcp4 127.0.0.1:8000<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145667,postgres.771,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964219,tcp6 ::1.5432<->*.*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.964285,tcp4 127.0.0.1:5432<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145677,Doubao Browser.843,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964355,tcp4 127.0.0.1:49853<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145683,Doubao Browser .866,,,38406,49088,0,0,0,,,,,,,,,,,,
17:23:10.972009,tcp4 127.0.0.1:60643<->127.0.0.1:7890,lo0,Established,15851,21985,0,0,0,1.22 ms,407526,403776,BE,-,cubic,-,-,-,-,so,
17:23:10.972658,tcp4 127.0.0.1:60644<->127.0.0.1:7890,lo0,Established,20825,22961,0,0,0,1.00 ms,403584,403968,BE,-,cubic,-,-,-,-,so,
17:23:11.111425,tcp4 127.0.0.1:58336<->127.0.0.1:7890,lo0,Established,1730,4142,0,0,0,1.00 ms,406784,404416,BE,-,cubic,-,-,-,-,so,
17:23:11.145700,remoting_me2me_.1090,,,63357,29100,0,0,0,,,,,,,,,,,,
17:23:11.025425,tcp4 127.0.0.1:53068<->127.0.0.1:7890,lo0,Established,63357,29100,0,0,0,1.00 ms,356155,404032,BE,-,cubic,-,-,-,-,so,
17:23:11.145707,Doubao Browser .1393,,,7863,11248,0,0,0,,,,,,,,,,,,
17:23:10.976439,tcp4 127.0.0.1:61564<->127.0.0.1:7890,lo0,Established,7863,11248,0,0,0,1.12 ms,407552,405376,BE,-,cubic,-,-,-,-,so,
17:23:11.145713,1Password.5004,,,16268,8518,0,0,0,,,,,,,,,,,,
17:23:11.016900,tcp4 198.18.0.1:65301<->198.18.0.8:443,utun4,Established,8134,4259,0,0,0,1.00 ms,272192,65507,BE,-,cubic,-,-,-,-,so,
17:23:11.018378,tcp4 198.18.0.1:65303<->198.18.0.8:443,utun4,Established,8134,4259,0,0,0,1.22 ms,272192,65507,BE,-,cubic,-,-,-,-,so,
17:23:11.145725,mihomo.57128,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964509,tcp4 127.0.0.1:18888<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.965954,tcp4 127.0.0.1:19090<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145735,node.18754,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964601,tcp4 127.0.0.1:4321<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145741,GitHub Desktop .17647,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964749,tcp4 127.0.0.1:61921<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145747,adb.24690,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.964856,tcp4 127.0.0.1:5037<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145752,Google Chrome H.16844,,,772152,574974,0,0,0,,,,,,,,,,,,
17:23:10.978573,tcp4 127.0.0.1:61600<->127.0.0.1:7890,lo0,Established,5705,7662,0,0,0,1.00 ms,406504,405184,BE,-,cubic,-,-,-,-,so,
17:23:10.979898,tcp4 127.0.0.1:61646<->127.0.0.1:7890,lo0,Established,45346,12948,0,0,0,1.00 ms,367768,404800,BE,-,cubic,-,-,-,-,so,
17:23:10.986374,tcp4 127.0.0.1:61774<->127.0.0.1:7890,lo0,Established,59409,60543,0,0,0,1.28 ms,350848,352064,BE,-,cubic,-,-,-,-,so,
17:23:10.987558,tcp4 127.0.0.1:61775<->127.0.0.1:7890,lo0,Established,59423,60525,0,0,0,1.28 ms,350848,352064,BE,-,cubic,-,-,-,-,so,
17:23:10.993775,tcp4 127.0.0.1:61917<->127.0.0.1:7890,lo0,Established,5657,7510,0,0,0,1.00 ms,406504,405312,BE,-,cubic,-,-,-,-,so,
17:23:10.995674,tcp4 127.0.0.1:61931<->127.0.0.1:7890,lo0,Established,10240,7542,0,0,0,1.00 ms,401960,405248,BE,-,cubic,-,-,-,-,so,
17:23:10.997604,tcp4 127.0.0.1:61944<->127.0.0.1:7890,lo0,Established,5656,7574,0,0,0,1.00 ms,406504,405248,BE,-,cubic,-,-,-,-,so,
17:23:10.999480,tcp4 127.0.0.1:61946<->127.0.0.1:7890,lo0,Established,5656,7542,0,0,0,1.00 ms,406504,405248,BE,-,cubic,-,-,-,-,so,
17:23:11.001415,tcp4 127.0.0.1:61967<->127.0.0.1:7890,lo0,Established,5656,7510,0,0,0,1.00 ms,406504,405312,BE,-,cubic,-,-,-,-,so,
17:23:11.003359,tcp4 127.0.0.1:61974<->127.0.0.1:7890,lo0,Established,5656,7606,0,0,0,1.00 ms,406504,405184,BE,-,cubic,-,-,-,-,so,
17:23:11.005290,tcp4 127.0.0.1:61976<->127.0.0.1:7890,lo0,Established,5632,7546,0,0,0,1.00 ms,406504,405248,BE,-,cubic,-,-,-,-,so,
17:23:11.007236,tcp4 127.0.0.1:61978<->127.0.0.1:7890,lo0,Established,5632,7578,0,0,0,1.00 ms,406504,405184,BE,-,cubic,-,-,-,-,so,
17:23:11.009196,tcp4 127.0.0.1:61999<->127.0.0.1:7890,lo0,Established,5634,7514,0,0,0,1.00 ms,406504,405248,BE,-,cubic,-,-,-,-,so,
17:23:11.013300,tcp4 127.0.0.1:64329<->127.0.0.1:7890,lo0,Established,9545,6762,0,0,0,1.00 ms,402024,405248,BE,-,cubic,-,-,-,-,so,
17:23:11.019883,tcp4 127.0.0.1:65368<->127.0.0.1:7890,lo0,Established,9234,6398,0,0,0,1.00 ms,401960,405248,BE,-,cubic,-,-,-,-,so,
17:23:11.022224,tcp4 127.0.0.1:65370<->127.0.0.1:7890,lo0,Established,4650,6334,0,0,0,1.00 ms,406504,405312,BE,-,cubic,-,-,-,-,so,
17:23:11.027839,tcp4 127.0.0.1:53769<->127.0.0.1:7890,lo0,Established,7793,4750,0,0,0,1.00 ms,402024,405184,BE,-,cubic,-,-,-,-,so,
17:23:11.030269,tcp4 127.0.0.1:53789<->127.0.0.1:7890,lo0,Established,7794,4750,0,0,0,1.00 ms,401960,405184,BE,-,cubic,-,-,-,-,so,
17:23:11.035228,tcp4 127.0.0.1:56111<->127.0.0.1:7890,lo0,Established,7121,3966,0,0,0,1.00 ms,401960,405184,BE,-,cubic,-,-,-,-,so,
17:23:11.037802,tcp4 127.0.0.1:56134<->127.0.0.1:7890,lo0,Established,2513,3842,0,0,0,1.00 ms,406504,405312,BE,-,cubic,-,-,-,-,so,
17:23:11.040395,tcp4 127.0.0.1:56686<->127.0.0.1:7890,lo0,Established,4753,5438,0,0,0,1.00 ms,404134,403520,BE,-,cubic,-,-,-,-,so,
17:23:11.052212,tcp4 127.0.0.1:57102<->127.0.0.1:7890,lo0,Established,4650,3922,0,0,0,1.00 ms,404134,404864,BE,-,cubic,-,-,-,-,so,
17:23:11.055033,tcp4 127.0.0.1:57212<->127.0.0.1:7890,lo0,Established,6705,5320,0,0,0,1.00 ms,402944,404544,BE,-,cubic,-,-,-,-,so,
17:23:11.058011,tcp4 127.0.0.1:57309<->127.0.0.1:7890,lo0,Established,5522,7410,0,0,0,1.28 ms,403520,403008,BE,-,cubic,-,-,-,-,so,
17:23:11.060971,tcp4 127.0.0.1:57317<->127.0.0.1:7890,lo0,Established,6256,41678,0,0,0,1.00 ms,402688,367232,BE,-,cubic,-,-,-,-,so,
17:23:11.063978,tcp4 127.0.0.1:57349<->127.0.0.1:7890,lo0,Established,370513,60714,0,0,0,1.00 ms,300800,350592,BE,-,cubic,-,-,-,-,so,
17:23:11.067039,tcp4 127.0.0.1:57371<->127.0.0.1:7890,lo0,Established,14952,88061,0,0,0,1.12 ms,395200,322048,BE,-,cubic,-,-,-,-,so,
17:23:11.070156,tcp4 127.0.0.1:57468<->127.0.0.1:7890,lo0,Established,3679,21060,0,0,0,1.00 ms,405376,388544,BE,-,cubic,-,-,-,-,so,
17:23:11.073311,tcp4 127.0.0.1:57480<->127.0.0.1:7890,lo0,Established,3866,5075,0,0,0,1.00 ms,405248,404096,BE,-,cubic,-,-,-,-,so,
17:23:11.076506,tcp4 127.0.0.1:57484<->127.0.0.1:7890,lo0,Established,8986,22000,0,0,0,1.00 ms,401323,389952,BE,-,cubic,-,-,-,-,so,
17:23:11.088660,tcp4 127.0.0.1:58074<->127.0.0.1:7890,lo0,Established,5340,12136,0,0,0,1.00 ms,403392,396736,BE,-,cubic,-,-,-,-,so,
17:23:11.092081,tcp4 127.0.0.1:58131<->127.0.0.1:7890,lo0,Established,6934,2074,0,0,0,1.00 ms,401536,406336,BE,-,cubic,-,-,-,-,so,
17:23:11.095635,tcp4 127.0.0.1:58238<->127.0.0.1:7890,lo0,Established,6005,5187,0,0,0,1.00 ms,402560,403392,BE,-,cubic,-,-,-,-,so,
17:23:11.101628,tcp4 127.0.0.1:58279<->127.0.0.1:7890,lo0,Established,8821,5868,0,0,0,1.00 ms,399744,402688,BE,-,cubic,-,-,-,-,so,
17:23:11.107714,tcp4 127.0.0.1:58302<->127.0.0.1:7890,lo0,Established,5764,5048,0,0,0,1.00 ms,402688,403520,BE,-,cubic,-,-,-,-,so,
17:23:11.117778,tcp4 127.0.0.1:58350<->127.0.0.1:7890,lo0,Established,9943,11018,0,0,0,1.00 ms,398784,397760,BE,-,cubic,-,-,-,-,so,
17:23:11.126830,tcp4 127.0.0.1:58465<->127.0.0.1:7890,lo0,Established,4485,6672,0,0,0,1.00 ms,404096,401920,BE,-,cubic,-,-,-,-,so,
17:23:11.130727,tcp4 127.0.0.1:58477<->127.0.0.1:7890,lo0,Established,5713,5170,0,0,0,1.00 ms,402816,403520,BE,-,cubic,-,-,-,-,so,
17:23:11.133414,tcp4 127.0.0.1:58478<->127.0.0.1:7890,lo0,Established,7704,11705,0,0,0,1.00 ms,400832,396992,BE,-,cubic,-,-,-,-,so,
17:23:11.138800,tcp4 127.0.0.1:58487<->127.0.0.1:7890,lo0,Established,7609,3016,0,0,0,1.00 ms,400896,405504,BE,-,cubic,-,-,-,-,so,
17:23:11.145965,java.35621,,,2112182,5751,0,0,0,,,,,,,,,,,,
17:23:10.965076,tcp4 127.0.0.1:58371<->127.0.0.1:58370,lo0,Established,2112182,5751,0,0,0,1.00 ms,269655,402624,BE,-,cubic,-,-,-,-,so,
17:23:11.145971,java.35731,,,5751,2112182,0,0,0,,,,,,,,,,,,
17:23:10.964963,tcp4 127.0.0.1:58370<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.965206,tcp4 127.0.0.1:58370<->127.0.0.1:58371,lo0,Established,5751,2112182,0,0,0,1.22 ms,402624,269696,BE,-,cubic,-,-,-,-,so,
17:23:10.965459,tcp4 127.0.0.1:60363<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.966105,tcp4 127.0.0.1:62311<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145992,node.35901,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.965334,tcp6 *.8081<->*.*,,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.145998,clash-verge.29793,,,0,0,0,0,0,,,,,,,,,,,,
17:23:10.965626,tcp4 127.0.0.1:33331<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:11.146004,verge-mihomo.29866,,,5869737,26843008,34992,209886,691191,,,,,,,,,,,,
17:23:11.144230,tcp4 192.168.1.23:58497<->public1.alidns.com:853,en0,Established,4080,1675,0,0,0,12.00 ms,131072,43008,BE,-,cubic,1,-,-,-,so,
17:23:10.965789,tcp4 127.0.0.1:7890<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
17:23:10.968001,tcp4 127.0.0.1:7890<->127.0.0.1:52794,lo0,FinWait2,1090,19658137,0,0,506700,4.00 ms,407296,468224,BE,-,cubic,-,-,-,-,so,
17:23:10.971100,tcp4 127.0.0.1:7890<->127.0.0.1:56160,lo0,FinWait2,223,39,0,0,0,1.00 ms,408128,408320,BE,-,cubic,-,-,-,-,so,
17:23:10.972328,tcp4 127.0.0.1:7890<->127.0.0.1:60643,lo0,Established,21985,15851,0,0,0,1.00 ms,403746,407552,BE,-,cubic,-,-,-,-,so,
17:23:10.972989,tcp4 127.0.0.1:7890<->127.0.0.1:60644,lo0,Established,22961,20825,0,0,0,1.00 ms,403938,403584,BE,-,cubic,-,-,-,-,so,
17:23:10.973327,tcp6 240e:390:9af:5e50:dd5f:3fd7:42d:47fb.60687<->240e:83:200::17d.443,en0,Established,21021,23137,208,0,210,36.50 ms,131072,76800,BE,-,cubic,1,-,-,-,so,
17:23:10.973671,tcp6 240e:390:9af:5e50:dd5f:3fd7:42d:47fb.60691<->240e:83:200::17d.443,en0,Established,15969,22041,130,0,90,36.34 ms,131072,76800,BE,-,cubic,1,-,-,-,so,
